request_number,industry,gender,nation,model
1031,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1032,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1033,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1034,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1035,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1036,"Media, Graphics, Design, Printing, Art, Handcraft",female,default,x-ai/grok-3-mini-beta
1037,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1038,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1039,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1040,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1041,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1042,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1043,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1044,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1045,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1046,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1047,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1048,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1049,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1050,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1051,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1052,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1053,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1054,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1055,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1056,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1057,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1058,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1059,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1060,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1061,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1062,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1063,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1064,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1065,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1066,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1067,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1068,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1069,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1070,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1071,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1072,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1073,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1074,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1075,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1076,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1077,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1078,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1079,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1080,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1081,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1082,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1083,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1084,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1085,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1086,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1087,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1088,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1089,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1090,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1091,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1092,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1093,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1094,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1095,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1096,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1097,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1098,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1099,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1100,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1101,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1102,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1103,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1104,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1105,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1106,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1107,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1108,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1109,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1110,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1111,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1112,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1113,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1114,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1115,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1116,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1117,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1118,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1119,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1120,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1121,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1122,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1123,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1124,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1125,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1126,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1127,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1128,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1129,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1130,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1131,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1132,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1133,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1134,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1135,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1136,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1137,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1138,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1139,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1140,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1141,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1142,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1143,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1144,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1145,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1146,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1147,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1148,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1149,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1150,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1151,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1152,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1153,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1154,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1155,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1156,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1157,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1158,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1159,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1160,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1161,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1162,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1163,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1164,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1165,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1166,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1167,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1168,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1169,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1170,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1171,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1172,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1173,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1174,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1175,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1176,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1177,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1178,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1179,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1180,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1181,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1182,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1183,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1184,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1185,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1186,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1187,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1188,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1189,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1190,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1191,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1192,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1193,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1194,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1195,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1196,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1197,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1198,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1199,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1200,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1201,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1202,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1203,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1204,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1205,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1206,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1207,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1208,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1209,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1210,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1211,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1212,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1213,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1214,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1215,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1216,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1217,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1218,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1219,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1220,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1221,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1222,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1223,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1224,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1225,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1226,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1227,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1228,"Social Services, Health, Beauty Care",female,default,x-ai/grok-3-mini-beta
1229,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1230,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1231,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1232,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1233,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1234,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1235,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1236,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1237,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1238,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1239,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1240,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1241,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1242,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1243,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1244,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1245,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1246,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1247,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1248,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1249,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1250,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1251,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1252,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1253,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1254,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1255,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1256,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1257,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1258,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1259,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1260,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1261,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1262,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1263,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1264,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1265,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1266,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1267,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1268,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1269,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1270,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1271,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1272,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1273,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1274,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1275,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1276,"Social Services, Health, Beauty Care",female,default,x-ai/grok-3-mini-beta
1277,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1278,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1279,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1280,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1281,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1282,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1283,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1284,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1285,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1286,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1287,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1288,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1289,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1290,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1291,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1292,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1293,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1294,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1295,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1296,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1297,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1298,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1299,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1300,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1301,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1302,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1303,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1304,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1305,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1306,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1307,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1308,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1309,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1310,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1311,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1312,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1313,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1314,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1315,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1316,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1317,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1318,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1319,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1320,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1321,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1322,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1323,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1324,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1325,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1326,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1327,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1328,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1329,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1330,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1331,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1332,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1333,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1334,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1335,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1336,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1337,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1338,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1339,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1340,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1341,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1342,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1343,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1344,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1345,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1346,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1347,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1348,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1349,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1350,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1351,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1352,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1353,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1354,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1355,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1356,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1357,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1358,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1359,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1360,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1361,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1362,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1363,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1364,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1365,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1366,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1367,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1368,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1369,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1370,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
1371,"Science, Education, Research and Development",female,default,x-ai/grok-3-mini-beta
1372,"Electrical Engineering, Electronics, Telecommunications, IT",female,default,x-ai/grok-3-mini-beta
